EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
valgus;muutumine;loomulikum;näitama;valgem;täna;tänama;viimane;kostma
lõkketuli;poiss;väikeauto;eluaeg;tegevus;tegelema;hiljem;õnnestuma;näiteks
lennukimäng;lapsekandmine;mootor;üritama;peakate;püsti;joonis;valimistepäev;tasand
telekarussell;turism;istuma;autorike;aste;ütlekas;jutusaa;isemoodi;millegipärast
siidimaal;buss;tegelikult;tänapäev;mainima;võtma;ütlema;teistmoodi;lõpetama
tõepoolest;hea;käimatõmbamine;eemalduma;energia;niu;kena;sajakilomeetrine;mõtlema
turism;valima;väljund;täideviimine;distants;niiet;kuulaja;lihtsalt;muusika
lõppkokkuvõte;moedisainer;keeruline;pealiskaudselt;lend;marssima;suujupe;jutusaade;nimel
ruttu-rutt;tüüdma;värv;viimne;toon;vale;nimel;valmis;suhtumine
võib-olla;sirges;esinema;täpselt;meel;huvitama;juht;väljakutse;arvama
eraldiseisev;andma;poliitiline;täitsa;taastatav;lausa;mikrofon;jällegi;10
hoov;küla;askeldamine;tegemine;parem;koht;tõenäoliselt;armastama;emme
luristamine;uisutama;keskkond;avastama;isemoodi;kolleeg;nõustuma;kaugele;-te
kostüüm;kabinet;kilomeeter;viis-kuus-seitne;unistama;paraat;jaksama;kindlasti;valdama
nutt;tänav;kuuluma;mängima;issand;ehetama;soovima;olukord;mees
muusika;disainer;auto;täiendama;taust;vaja;kutsuma;tänapäev;raha
joonistamine;kevad;koht;lõpetama;kindlasti;segav;nii-öelda;võimalikult;tegelikult
interjöör;abi;šanss;esiteks;tingimus;vaatama;ütlekas;vastavalt;langus
põhitöö;külastaja;mööbliauto;jalgratas;uskuma;viimne;täitsa;kaugel;tänapäevane
tarbepoed;osa;üritus;üleöö;enamus;käigus;loomulikult;valmisolek;lendama
sõnavaras;disainimaailm;jõudma;kolm-nelikümmend;läbitav;tuju;poliitiline;õigemini;ruttu-rutt
Haapsalus;Joe;täna;tagantjärgi;aus;terve;puhkus;ütlema;ühiskond
lõbusam;puhkusetsükkel;tänane;pidupäev;uks;viisselt;hüüdma;häda;koht
Skandinaavia;vangla;pilt;kõvahäälselt;nimetama;korrutama;rahmeldama;kuulaja;püha
puhkusetsükkel;ajakirjandus;põhimõtteliselt;hiljuti;isik;pealiskaudselt;päev;nõustuma;majanduslik
hommiku-söök;töö;füüsiline;ilmselt;võimalikult;öige;vastama;käima;korraks
Reskin;leidma;autokujuline;avameelne;selge;nimetama;niisuke;hiljuti;leidma
mood;huvitav;suusatamine;eraldiseisev;nisugune;Carlos;poliitikajudu;tänane;ajakiri
väljund;korraldama;informatsioon;säiluma;istuma;korraga;lõpuks;natuke;linn
sündmus;taastusperiood;pidev;leppima;uus;mainima;kuulma;juhtuma;elukeskkond
vanalinn;ootus;viimane;rõivakunstnik;sobiv;nii-öelda;varem;tõenäoliselt;üldse
lapsekandmine;töötama;mõtlemine;näitus;elu;tirima;suusataja;abikaasa;tõbi
tõenäoliselt;magnetmöö;tootmine;turismiatraktsioon;esimene;tegelemine;tekkima;peatänav;kabinet
üldse;isa;väljend;erialane;Cohesion;siiralt;korraga;suusamees;92
sissevõtmine;paremini;joonistama;teadlik;kaks;vaade;jõudma;kõvahäälselt;maja
valimistepäev;asi;Liivia;päevapealt;disainer;paistma;tulevalge;tänama;võtma
autosõit;teadmine;nähtus;tähtsam;isiklikult;siidimaal;pikalt;viis;minemine
tõsiselt;sõna;raske;jaburalt;toimuma;kodu;pidupäev;täpselt;väikeauto
mööbliauto;eriala;tekitama;kaasnema;otsus;üritus;lagu;üleöö;nii-öelda
nägema;aktiivne;lõpetama;ühinema;teema;nimel;õnnestuma;ütleja;ilm
vaim;kasvatamine;inimene;ajakiri;aur;oskama;helistama;viisselt;paukuma
laat;tegelema;tegutsema;rõivadisainer;tooma;juhendama;käima;sündinud-kasvanud;Olivia
pikemaajaline;viis-kuus-seitne;analüüsima;elukeskkond;meeldima;päev;hing;tippnäitleja;liiklus
pilt;suusatamine;lihtne;erinevalt;informatsioon;kuuluma;lõbustama;hõiskama;mitt
dekoratiiv;moekateeder;aktiivne;teistmoodi;vajalik;möödunud;paraat;vaja;Joe
väljend;nägu;tähendama;vaevalt;noor;ammu;muusika;uus;kurbus
täielik;võtma;muutus;põhiliselt;segav;kord;isemoodi;sõbranna;vaja
hingima;õpetama;kuulma;väljend;-te;helistama;ootama;mängima;küla
õppima;väike;keerlema;lähedane;nimi;tormama;tund;tähtsam;abikaasa
energia;tingimus;peatuma;pissihäda;vastama;päevapealt;tähistama;haapsalu;tormama
rõivas;aste;kuulama;vastsündinud;kuu;õnnelikult;samm;ootama;esimene
arvuti;lahkumisavaldus;näitus;õigemini;valgus;lesk;küsima;mõtlema;taanduma
poliitiline;üksus;sõna;arvuti;avastama;osaline;marssima;koht;tunnistama
Haapsalu;puhkus;muutuma;populaarne;autorike;niipea;tindur;kinni;natukene
haapsalu;suund;näiteks;tippnäitleja;paraat;korraks;sein;käigus;autosõit
mure;vastavalt;raskeim;langetama;hirm;äkki;sugugi;täis;kaks
kunstikool;jumal;muutumine;ütleja;suutma;kõlama;ümbritsema;külaline;100
tõusuperiood;hommik;ruum;valmisolek;amet;moodi;peatänav;muretsema;ring
igihaljas;kuiv;Leskinen;moedisainer;soe;vaimuinimene;kinni;kuuluma;paar
põhiselt;kord;eemalduma;suurim;avameelne;moekateeder;pealiskaudselt;vahvam;tõsiselt
tõsidus;vaim;võimatu;interpreteerima;tipptase;leid;tuju;lugu;lõpetus
võimalikult;kaubandussöögipood;lahendus;hõiskama;laud;vahelik;ootamine;küsima;tagantjärgi
ausalt;lause;disainimine;välispidine;oht;juhtuma;õhtu;lemmikum;huvitav
kunst;valdama;tõsine;rahmeldama;projekt;ootus;kuulama;lõpupoole;niuke
näitus;palk;aeg-ajalt;teadlikult;nii-öelda;nimelt;kaugem;näitama;puu
linn;arvuti;nägema;püsti;tunnistama;püsielanik;saatus;natukene;kuuldus
ebaõiglane;vaimne;väljenduma;kritiseerima;valge;saatus;sattuma;muutlema;tõsidus
poliitikajudu;hindamine;ilu;tüdinema;mure;võimalikult;tippnäitleja;algus;pikem
tervis;;ühiskond;üritus;ütlema;ajastu;võib-olla;töötama;teadlik
köhatama;ebaõiglane;lause;tõsiselt;muutus;emme;minemine;täitsa;suusa
magnetmöö;energia;jutustav;siiralt;suhtuma;lemmikum;muuseas;Eesti;turist
rabelemine;nutt;järjekord;igihaljas;abi;isik;hommik;hääl;uus
päev;oht;elama;lahkumisavaldus;kuiv;kaasnema;veidi;moodi;super
millegipärast;amet;lõpuks;sõltuv;kommentaar;pidulik;hingima;tulevalge;sõna
jätkama;valesti;võrdlema;kateeder;tegelema;sein;ühesõnaga;kolleeg;pühalik
hülgama;varjama;käimalükkamine;ületöötama;Labson;kateeder;nägema;tihti;tegelema
-te;vaevama;kaasnema;kuskile;saatus;kuskile;võimalik;küla;väljenduma
provints;julgus;natukene;lõpetus;vastutus;samm;hästi;suurem;suhtuma
Olivia;äkki;küla;tohtima;erinevalt;muuseas;kole;võib-olla;aste
mootor;korraga;teadma;mööbliauto;koduus;kuulaja;valdama;jutusaa;olu
risima;vana;linn;töötlema;suhtumine;raputama;juhtima;meeldima;füüsiline
joonistus;elukutse;avalik;poliitikajudu;kere;soe;kuuldus;tormama;tulek
reetmine;suursündmus;kujundamine;nägema;kolm;moedisainer;tulek;selguma;sõnavaras
tänapäev;elama;mõtlema;kergendus;voo;kõrvaline;raputama;lahendama;suur
nii-öelda;väljund;valima;pretendeerima;suund;tohtima;kuuluma;vanalinn;sajakilomeetrine
tüdinema;istuma;ruttu-rutt;tulevik;ootamine;intervjuu;tahtma;suutma;üleöö
välispidine;haapsalu;loomine;väärikas;niiet;kaotama;tunduma;nõus;lahendama
Raymars;sõltuv;leidma;püsielanik;no;pingutama;juhtuma;peakate;elamine
söö;lahendama;probleem;julgema;elama;paar;huvitama;üldse;rõivas
nõudmine;terve;disainimaailm;kaugem;aeg;uppi;fänn;uisutama;Margit
enamus;kolima;joonistamine;kunstikool;vaja;vanalinn;vahelik;muutuma;
eksistentsiaalne;liin;elukeskkond;jooksma;mõistus;jällegi;sõnavaras;vastama;nimelt
lõpetus;tunnistama;tõmbama;täitma;kodutunne;ümbritsema;külaline;tegutsema;kuskile
jutusaa;distants;disainima;abikaasa;lause;tore;hääl;päriselt;kadumine
objekt;kostüüm;ümbritsema;värskelt;foto;atraktsioon;kõlama;hiljem;Rootsi
hiljem;vastutus;päev;juhendama;võib-olla;turist;mees;sõna;probleem
suits;ema;;väljakutse;kokkulangemine;risima;õhetav;vahetama;täis
tänama;loobuma;rahvusvaheline;tabuteema;minemine;niisuke;raskelt;Liive;Tallinn
pidupäev;kurbus;lõppkokkuvõte;osutuma;eluhetk;kena;jama;püsielanik;tõstma
tahtlemine;tõsiselt;liin;lemmikum;isa;pidupäev;niuke;kaasnema;püüdma
tagantjärgi;Läänemaa;teadmine;tsükkel;firma;huvi;sügis;kleidikandja;üksus
elukeskkond;suu;puhas;lihtne;sobima;Tallinn;suusatama;kallis;mure
probleem;loomine;eriti;tööandja;imik;kuskilt;nisugune;lõpetama;Carlos
läbitav;vales;tänapäev;moekunst;ilm;tänav;võimalikult;muutumine;kõnnak
rõivadisainer;väljaastumine;tõepoolest;pikemaajaline;tabuteema;interjöör;lõige;võimalik;nimi
sein;püha;lõhn;üliõpilane;suurem;askeldamine;koht;ümbritsema;voo
kootav;täna;tegevus;põhitöö;sündmus;imik;kindel;lahkumisavaldus;armas
paade;koputama;töötama;sotsiaalol;sekund;valmisolek;tüüdma;viima;lõbus
tööinimene;keskkond;loogiliselt;lõpupoole;tootmine;sobiv;käigus;eemalduma;Katariina
tualett;mootor;foto;jutusaade;pinge;jaburalt;aus;õhtu;ühesõnaga
trügimine;nina;Margit;isemoodi;lennuk;isemoodi;stuudio;lausa;tööaeg
joonistamisring;lõpupoole;tunne;korrutama;muutumine;täitsa;julgelt;suurelt;kord
asi;turist;joonistus;sissetulek;avalik;tegemine;enamus;juhataja;pikk
värv;pingutama;õhtu;kerge;esinema;käima;köhatama;lahti;mootor
peatänav;hiljuti;tunnistama;kõrvaline;osutuma;suutma;kaduma;vajama;jällegi
vaimne;tore;helistama;väiksem;sõna;esile;lõbus;tooma;lennukimäng
tähistama;taastatav;keha;väljund;unistus;kuulma;jaburalt;niipea;rahvusvaheline
kabinet;muutus;tööaeg;juhtima;mugavus;nähtus;nuus;interpreteerima;kerge
möödunud;leid;telekarussell;raskeim;kallis;küsima;terve;kadumine;kest
aktiivne;vaja;kurtma;valik;annus;nuus;õige;külastaja;aus
tants;situatsioon;kunst;töötama;ausalt;lõbustama;teadlikult;tegelema;kaugele
saar;täitsa;kuulutama;valesti;vahetama;kole;tants;saatus;Cover
igatsus;nimetama;tulek;päriselt;eksju;tänane;stango;kuulutama;inimene
projekt;söö;ootama;suusamees;otsima;afima;nimi;arvama;kum
jaburalt;olu;hetk;ummikus;võimatu;raiskama;vale;otsima;aktiivne
õigemini;kaubaauto;ajakirjandus;paik;paik;emake;paik;huvitama;eluhetk
jalgratas;algus;kindlasti;vaimuinimene;mitt;pere;viimne;kolm;töötlema
liiklus;inimene;eluhetk;pikalt;tindur;mure;emme;ignoreerima;kasvama
rind;tsükkel;kuskilt;vabariik;kaasa;Liivia;hilja;pealiskaudselt;neljas
täiendama;natuke;kujutav;telekarussell;maksma;vastuvõtt;õigemini;otsus;natuke
finantsiline;juhendama;õpetama;ehketestin;ümbritsema;vaim;kõvahäälselt;esinema;tekitama
vastsündinud;ületöötama;kabinet;keskselt;magnet;minemine;lõpetama;kolm-nelikümmend;poeg
teistmoodi;abikaasa;Carlos;rahvusvaheline;mees;seoses;meeldima;värskelt;puudutama
ilm;lapsepõlv;raskem;neljas;elamine;moeinimen;vaikselt;lahendus;valge
kodutunne;täideviimine;asi;partei;disainimine;astuma;ausalt;treenima;absoluut
majanduslik;sööma;hääl;hilja;paar;varjama;nimetama;juhtima;ausalt
emapalk;köhatama;tundma;loomulikum;esile;hästi;aeg;elu;häda
hüüdma;suusatama;arutama;saade;panema;lõpupoole;põsk;vaevama;äkki
meel;kaotama;marssima;kere;esiteks;viima;taanduma;arvamus;lahkumisavaldus
aken;käima;disain;joonistus;disainima;laskma;üleöö;isiklikult;loomulikult
tüüdma;sissevõtmine;jalgratas;vahevariant;koht;kest;lõpupoole;inimene;kõva
pühalik;nisugune;joonis;aeg-ajalt;mood;Leskinen;jutusaade;tagastatud;ema
keskselt;intervjuu;saade;väline;vangla;peakate;natuke;muutma;tegevus
selg;-te;tekkima;paraat;tekitama;valimistepäev;möödunud;kaks;energia
kaubaauto;taust;lihtsam;ehetama;telekarussell;peatänav;õmbleja;nimelt;situatsioon
keskkond;üliõpilane;lugema;puhkusetsükkel;kuuldus;vaimusääst;aeg-ajalt;joonistama;Lennart
foto;väljenduma;absoluut;rääkima;suurelt;suusamees;vaja;lootma;ümbritsev
tuba;tööperiood;kolm-nelikümmend;helistama;kurbus;väljenduma;valima;lõbustama;põhitöö
lapsepõlv;tähtis;muutlema;esinema;sissetulek;ind;panema;sissevõtmine;rõõm
ruum;kootav;tüdinema;õmbleja;kujutav;uisutama;tasand;kuues;Eesti
tragöödia;langetama;lahendama;päev;viis;näitama;vaimuinimene;situatsioon;eluaeg
ateljee;periood;natuke;suutma;reetmine;uhke;varjama;julge;Soome
koduõu;hüüdma;jutusaa;lahendus;teadmine;aru;eemalduma;kõvasti;mööbliauto
vangla;piisav;väljakutse;tegelema;tavaliselt;hommik;kallis;tõmbama;kool
natukene;saba;võtma;laialdane;ammu;hõiskama;üldse;õudsalt;mängima
tiir;käimatõmbamine;kunstnik;issand;armas;valgem;suutma;õnnelikult;sissevõtmine
auto;ütlema;taust;väljenduma;magama;ammendama;lööma;taanduma;asi
nelginev;soe;tänav;eriala;kergendus;lugu;oskama;tahtlemine;sisekujundus
ihu;kere;käigus;unistama;valima;nelginev;Läänemaa;suursündmus;no
püüdma;mainima;arvama;tragöödia;küsimus;järjekord;niukne;ühinema;nõudmine
õudsalt;tõstma;ühinema;kest;konklex;saar;aasta;tähistama;kõlama
täiskasvanud;Olivia;kerge;loomine;periood;vaevama;kest;puudutama;elu
Lennuk;viie-kuueaastane;ütleja;moekunstnik;kerge;ümbritsev;julgema;tundma;rind
lennuk;vale;astuma;öige;dekoratiiv;puhkus;viima;üritama;moeinimen
disainimine;40;vastama;õpetajatöö;lausa;olukord;maha;toitma;sobima
